,Episode,Timestep,Policy_Loss,Critic_Loss,RM_Score,Ref_KL
163,40,1312,-0.0003995790605813454,0.006677756644785404,-1.9605127573013306,-0.04016466066241264
164,41,1320,-0.0006468483871572061,0.011623199842870236,-2.8375682830810547,-0.04030663147568703
165,41,1328,-0.0018302791494079428,0.008339263498783112,-2.419734001159668,-0.05458050221204758
166,41,1336,-0.0005377616114628836,0.006330051925033331,-2.259312152862549,-0.05526517331600189
167,41,1344,-0.0011299722633793864,0.007955590635538102,-2.932129144668579,-0.038380809128284454
168,42,1352,-0.002126317053858884,0.009670783765614033,-1.3066672086715698,-0.04355622082948685
169,42,1360,-0.0028263687355320143,0.004328398872166872,-2.0354998111724854,-0.040243156254291534
170,42,1368,-0.003158091745672209,0.004196800198405981,-2.307471513748169,-0.038292452692985535
171,42,1376,-0.00224350214025435,0.010285631194710732,-2.1673929691314697,-0.042493388056755066
172,43,1384,-0.001961431616769005,0.006893851701170206,-2.6067254543304443,-0.03225098177790642
173,43,1392,-0.001062137849956457,0.004720817320048809,-2.9831533432006836,-0.044547196477651596
174,43,1400,-0.003394590157768107,0.009296534396708012,-1.7271004915237427,-0.05096692219376564
175,43,1408,-0.0027113348627153754,0.009633499570190907,-1.6726491451263428,-0.03731503337621689
176,44,1416,-0.0023448244674455056,0.012560287863016129,-2.5452218055725098,-0.047174274921417236
177,44,1424,-0.001878900455699295,0.0071722202934324745,-1.9320406913757324,-0.0355718769133091
178,44,1432,-0.0024371671422159123,0.007663304172456265,-1.6403454542160034,-0.03855297341942787
179,44,1440,-0.003265721004208899,0.007068222016096115,-1.4800832271575928,-0.041264452040195465
180,45,1448,-0.0014839482648312697,0.013445007614791393,-2.7994494438171387,-0.04430913180112839
181,45,1456,-0.002554912641926421,0.011563648469746113,-2.425668478012085,-0.04328685626387596
182,45,1464,-0.0059485874715278445,0.010336590744554997,-1.6675716638565063,-0.041116632521152496
183,45,1472,-0.002650943211483536,0.006154185906052589,-2.573446273803711,-0.0438687726855278
184,46,1480,-0.0014051976452947202,0.008255563490092755,-3.1339850425720215,-0.039408277720212936
185,46,1488,-0.008574018242146052,0.005395598243921995,-2.4257283210754395,-0.05272247642278671
186,46,1496,-0.006138443616964651,0.008763922937214374,-2.26598858833313,-0.05767078697681427
187,46,1504,-0.007479843217106463,0.00834194552153349,-2.0566251277923584,-0.05254214629530907
188,47,1512,-0.008585106412101595,0.0061126499436795715,-2.3616557121276855,-0.04132409393787384
189,47,1520,-0.004905755593199501,0.006474689207971096,-1.9844094514846802,-0.03160063177347183
190,47,1528,-0.01580090483139429,0.01064176969230175,-2.3929378986358643,-0.052579399198293686
191,47,1536,-0.006129438567609213,0.005421743355691433,-2.5684165954589844,-0.037368129938840866
192,48,1544,-0.00523882045499704,0.011499771848320961,-2.3716962337493896,-0.051743388175964355
193,48,1552,-0.011370842214864752,0.008007553964853286,-2.2553958892822266,-0.040501441806554794
194,48,1560,-0.004658540880336659,0.007924973126500845,-1.8169114589691162,-0.04352357238531113
195,48,1568,-0.00372655036082854,0.0060749311931431295,-2.19012451171875,-0.05270984768867493
196,49,1576,-0.0011868011686146929,0.005261197313666343,-1.9396352767944336,-0.04823257401585579
197,49,1584,-0.0020471925534366166,0.0047776948660612105,-2.1751279830932617,-0.04100452736020088
198,49,1592,-0.002116735418985627,0.005431821569800377,-2.3418149948120117,-0.04094118997454643
199,49,1600,-0.006129438377547558,0.004879419319331646,-2.4015541076660156,-0.04027412086725235
200,50,1608,-0.0031600181110889025,0.006859875936061144,-2.482165813446045,-0.036929912865161896
201,50,1616,-0.002281271690344511,0.007277786172926426,-2.4788613319396973,-0.03872641921043396
202,50,1624,-0.004520967266762455,0.003943581087514758,-1.6382213830947876,-0.03454509377479553
203,50,1632,-0.01066286145887716,0.004746249224990606,-2.3775949478149414,-0.04397274926304817
204,51,1640,-0.004373391396916304,0.01244437862187624,-2.5542945861816406,-0.03657727316021919
205,51,1648,-0.006806882924411184,0.004910812247544527,-2.3207597732543945,-0.04838857427239418
206,51,1656,-0.005525462628565947,0.005112030450254679,-1.8595069646835327,-0.03569965809583664
207,51,1664,-0.0055835316687534945,0.006533735431730747,-2.039545774459839,-0.043015073984861374
208,52,1672,-0.006725186688163376,0.005837119836360216,-1.9433262348175049,-0.05574336275458336
209,52,1680,-0.004838067424614678,0.006099167000502348,-1.0466006994247437,-0.03796808421611786
210,52,1688,-0.004132528354375609,0.006977619603276253,-1.996415376663208,-0.03779119625687599
211,52,1696,-0.0030677579943812817,0.006191436666995287,-2.092540979385376,-0.03540998324751854
212,53,1704,-0.004444264848825696,0.005767176486551761,-1.920081615447998,-0.04140092432498932
